Quantity,Manufacturer,Manufacturer Part Number,Digikey Part Number,Description,Designator
1,Sullins Connector Solutions,PRPC006SBAN-M71RC,S1111EC-06-ND,"CONN HEADER .100"" SNGL R/A 6POS",J1
1,Amphenol FCI,10103594-0001LF,609-4050-1-ND,CONN RCPT STD MICRO USB TYPE B,J2
3,Wurth Electronics Inc.,885012207051,732-7664-1-ND,CAP CER 1UF 16V X7R 0805,"C1,C4,C8"
4,Samsung Electro-Mechanics,CL21A475KQFNNNG,1276-6465-1-ND,CAP CER 4.7UF 6.3V X5R 0805,"C2,C5,C7,C13"
8,Wurth Electronics Inc.,885012207016,732-8026-1-ND,CAP CER 0.1UF 10V X7R 0805,"C3,C6,C12,C14,C15,C16,C17,C18"
2,KEMET,C0805C180K5GACTU,399-8030-1-ND,CAP CER 18PF 50V C0G/NP0 0805,"C9,C10"
1,Bourns Inc.,CR0805-FX-1002ELF,CR0805-FX-1002ELFCT-ND,RES SMD 10K OHM 1% 1/8W 0805,R1
4,Stackpole Electronics Inc,RMCF0805FT10R0,RMCF0805FT10R0CT-ND,RES 10 OHM 1% 1/8W 0805,"R2,R3,R4,R5"
2,Bourns Inc.,CR0805-JW-472ELF,CR0805-JW-472ELFCT-ND,RES SMD 4.7K OHM 5% 1/8W 0805,"R6,R7"
8,Stackpole Electronics Inc.,RMCF0805JT47K0,RMCF0805JT47K0CT-ND,RES 47K OHM 5% 1/8W 0805,"R8,R9,R10,R11,R12,R13,R14,R15"
4,STMicroelectronics,VL6180XV0NR/1,497-14702-1-ND,MOD TIME-OF-FLIGHT 3IN1 12LGA,"U1,U3,U4,U5"
1,Diodes Incorporated,AP7332-2833W6-7,AP7332-2833W6-7DI-ND,IC REG LINEAR 2.8V/3.3V SOT26,U2
1,STMicroelectronics,STM32F070CBT6,497-15099-ND,IC MCU 32BIT 128KB FLASH 48LQFP,U6
1,Abracon LLC,ABL-8.000MHZ-B2,535-9062-ND,CRYSTAL 8.0000MHZ 18PF T/H,Y1
4,Wurth Electronics Inc.,150060BS55040,732-12013-1-ND,LED BLUE DIFFUSED 0603 SMD,"D1,D2,D3,D4"
